iso2,ctr,country,pdi,idv,ltowvs,gc_raw,gc_z
CN,CHI,China,80.0000,20.0000,87.0000,3.8858,1.8921
KR,KOR,Korea South,60.0000,18.0000,100.0000,3.5855,1.7459
RU,RUS,Russia,93.0000,39.0000,81.0000,3.4396,1.6748
TW,TAI,Taiwan,58.0000,17.0000,93.0000,3.2228,1.5693
ID,IDO,Indonesia,78.0000,14.0000,62.0000,2.9401,1.4316
SG,SIN,Singapore,74.0000,20.0000,72.0000,2.9357,1.4295
MY,MAL,Malaysia,104.0000,26.0000,41.0000,2.7513,1.3397
RS,SER,Serbia,86.0000,25.0000,52.0000,2.4162,1.1765
RO,ROM,Romania,90.0000,30.0000,52.0000,2.3963,1.1668
BG,BUL,Bulgaria,70.0000,30.0000,69.0000,2.1879,1.0654
BD,BAN,Bangladesh,80.0000,20.0000,47.0000,2.1195,1.0320
VN,VIE,Vietnam,70.0000,20.0000,57.0000,2.0815,1.0136
HR,CRO,Croatia,73.0000,33.0000,58.0000,1.7190,0.8370
JP,JPN,Japan,54.0000,46.0000,88.0000,1.5820,0.7703
SI,SLV,Slovenia,71.0000,27.0000,49.0000,1.4798,0.7205
PH,PHI,Philippines,94.0000,32.0000,27.0000,1.3995,0.6814
PK,PAK,Pakistan,55.0000,14.0000,50.0000,1.3072,0.6365
VE,VEN,Venezuela,81.0000,12.0000,16.0000,1.1373,0.5538
IN,IND,India,77.0000,48.0000,51.0000,0.9664,0.4706
MX,MEX,Mexico,81.0000,30.0000,24.0000,0.7283,0.3546
BR,BRA,Brazil,69.0000,38.0000,44.0000,0.6972,0.3395
TH,THA,Thailand,64.0000,20.0000,32.0000,0.6898,0.3359
TR,TUR,Turkey,66.0000,37.0000,46.0000,0.6840,0.3331
BE,BEL,Belgium,65.0000,75.0000,82.0000,0.6164,0.3001
PE,PER,Peru,64.0000,16.0000,25.0000,0.5501,0.2679
CL,CHL,Chile,63.0000,23.0000,31.0000,0.4707,0.2292
GR,GRE,Greece,60.0000,35.0000,45.0000,0.4368,0.2127
CZ,CZE,Czech Rep,57.0000,58.0000,70.0000,0.4228,0.2059
CO,COL,Colombia,67.0000,13.0000,13.0000,0.2911,0.1418
PT,POR,Portugal,63.0000,27.0000,28.0000,0.1688,0.0822
LT,LIT,Lithuania,42.0000,60.0000,82.0000,0.1487,0.0724
FR,FRA,France,68.0000,71.0000,63.0000,0.0906,0.0441
EE,EST,Estonia,40.0000,60.0000,82.0000,0.0528,0.0257
ES,SPA,Spain,57.0000,51.0000,48.0000,-0.2522,-0.1228
UY,URU,Uruguay,61.0000,36.0000,26.0000,-0.3966,-0.1931
DE,GER,Germany,35.0000,67.0000,83.0000,-0.4393,-0.2139
PL,POL,Poland,68.0000,60.0000,38.0000,-0.5475,-0.2666
LU,LUX,Luxembourg,40.0000,60.0000,64.0000,-0.7421,-0.3613
LV,LAT,Latvia,44.0000,70.0000,69.0000,-0.7530,-0.3666
TT,TRI,Trinidad and Tobago,47.0000,16.0000,13.0000,-0.7950,-0.3871
MA,MOR,Morocco,70.0000,46.0000,14.0000,-0.9184,-0.4472
CH,SWI,Switzerland,34.0000,68.0000,74.0000,-0.9270,-0.4514
IT,ITA,Italy,50.0000,76.0000,61.0000,-1.0726,-0.5223
IR,IRA,Iran,58.0000,41.0000,14.0000,-1.2821,-0.6243
NL,NET,Netherlands,38.0000,80.0000,67.0000,-1.5525,-0.7560
HU,HUN,Hungary,46.0000,80.0000,58.0000,-1.5663,-0.7627
AR,ARG,Argentina,49.0000,46.0000,20.0000,-1.6605,-0.8086
AT,AUT,Austria,11.0000,55.0000,60.0000,-2.0976,-1.0214
SE,SWE,Sweden,31.0000,71.0000,53.0000,-2.1253,-1.0348
FI,FIN,Finland,33.0000,63.0000,38.0000,-2.3529,-1.1457
GB,GBR,Great Britain,35.0000,89.0000,51.0000,-2.7841,-1.3557
NO,NOR,Norway,31.0000,69.0000,35.0000,-2.8354,-1.3806
CA,CAN,Canada,39.0000,80.0000,36.0000,-2.8735,-1.3992
IL,ISR,Israel,13.0000,54.0000,38.0000,-2.9308,-1.4271
IE,IRE,Ireland,28.0000,70.0000,24.0000,-3.5074,-1.7078
DK,DEN,Denmark,18.0000,74.0000,35.0000,-3.6706,-1.7873
US,USA,U.S.A.,40.0000,91.0000,26.0000,-3.7330,-1.8177
NZ,NZL,New Zealand,22.0000,79.0000,33.0000,-3.7788,-1.8400
AU,AUL,Australia,38.0000,90.0000,21.0000,-4.0073,-1.9513
