id.exposure,id.outcome,outcome,exposure,egger_intercept,se,pval,pair_id,ancestry,q_ivw,q_ivw_p,q_egger,q_egger_p
ieu-b-73,ukb-e-4501_EAS,all_cause_mortality_EAS,alcohol_drinks_per_week,0.0244572607722914,0.0325458360156447,0.458869688462064,alc-mort,EAS,31.6638580988562,0.288404569217515,31.0151711175342,0.270516132727606
ieu-b-73,ebi-a-GCST006701,all_cause_mortality_EUR,alcohol_drinks_per_week,-0.000641646614951029,0.00125724537017121,0.613302583242411,alc-mort,EUR,95.9557580448802,4.65643991735942e-08,95.1810249229316,3.44205718940418e-08
ieu-b-40,ukb-e-1807_AFR,all_cause_mortality_AFR,bmi,0.00175832846247265,0.00405841283260689,0.665026469381562,bmi-mort,AFR,499.165423882942,0.213988914617461,498.967826236003,0.206489599815043
ieu-b-40,ukb-e-4501_EAS,all_cause_mortality_EAS,bmi,0.00556516951741482,0.0156113877212784,0.721640728914369,bmi-mort,EAS,474.907713979126,0.415337243047325,474.778794294139,0.404282486183492
ieu-b-40,ebi-a-GCST006701,all_cause_mortality_EUR,bmi,0.00018661059341525,0.000413637120383648,0.652095334263672,bmi-mort,EUR,948.968964381317,2.15015381763218e-35,948.552884090746,1.66923857307861e-35
ukb-b-5192,ebi-a-GCST006701,all_cause_mortality_EUR,leisure_screen_tv_time,0.000657725752387061,0.00142003176211474,0.644187219667974,scr-mort,EUR,189.535082196128,1.54531800939096e-06,189.15225812184,1.24591716956775e-06
ukb-b-5237,bbj-a-159,cardiovascular_mortality_EAS,sugar_intake_total,-0.0109431065033297,0.00662942222668712,0.108899137578797,sug-cvdm,EAS,81.108429593589,3.83069412393797e-06,74.5553282448474,1.88372113021283e-05
ukb-b-5237,ebi-a-GCST005194,cardiovascular_mortality_EUR,sugar_intake_total,0.000435930514481198,0.00385175555142601,0.910518943978557,sug-cvdm,EUR,115.282711162167,5.70932301535461e-10,115.241707344955,3.17704128950638e-10
ukb-b-6324,ebi-a-GCST006701,all_cause_mortality_EUR,processed_meat_intake,0.00610127305530209,0.00368398617439179,0.112556850989456,upf-mort,EUR,51.5583618052038,0.000359616124281444,45.6021399170901,0.00144284227267654
