orthogroup,n_members,call,label_composition
OG_I5.0_0000,17,AMBIGUOUS_mixed:TRUE_DRD+HTR_serotonin+ADR_adrenergic,DRD1_candidate:3;MollCnid_DopR_3_candidate:2;HTR1A:2;HTR2A:1;5HT2A_Dmel:1;DRD1:1;DRD3:1;DRD4:1;DRD5:1;HTR1B:1;ADRA1A:1;MollCnid_DopR_1_candidate:1;MollCnid_DopR_2_candidate:1
OG_I5.0_0001,12,AMBIGUOUS_mixed:TRUE_DRD+OA_octopamine,MollCnid_DopR_1_candidate:3;MollCnid_DopR_2_candidate:2;DRD1_candidate:2;DRD2_candidate:2;OctB2R_Dmel:1;MollCnid_DopR_3_candidate:1;DRD2:1
OG_I5.0_0002,6,AMBIGUOUS_mixed:TRUE_DRD+HTR_serotonin,MollCnid_DopR_1_candidate:1;MollCnid_DopR_2_candidate:1;5HT1A_Dmel:1;DRD2_candidate:1;DRD2:1;MollCnid_DopR_3_candidate:1
OG_I5.0_0003,5,TRUE_DRD,DRD2_candidate:2;MollCnid_DopR_2_candidate:1;DRD2A:1;DRD1:1
OG_I5.0_0004,3,HTR_serotonin,HTR2A:2;MollCnid_DopR_1_candidate:1
OG_I5.0_0005,2,AMBIGUOUS_mixed:TRUE_DRD+CHRM_muscarinic,DRD2:1;CHRM1:1
OG_I5.0_0006,2,UNRESOLVED_no_anchor,MollCnid_DopR_2_candidate:1;MollCnid_DopR_3_candidate:1
OG_I5.0_0007,1,HTR_serotonin,5HT1Ap_Acal:1
OG_I5.0_0008,1,HTR_serotonin,5HT2_Acal:1
OG_I5.0_0009,1,TRUE_DRD,DRD1:1
OG_I5.0_0010,1,HTR_serotonin,5HT7_Dmel:1
OG_I5.0_0011,1,OA_octopamine,OctR_Oamb_Dmel:1
OG_I5.0_0012,1,TAR_tyramine,TyrR_Dmel:1
OG_I5.0_0013,1,TRUE_DRD,DRD1:1
OG_I5.0_0014,1,HTR_serotonin,HTR2A:1
OG_I5.0_0015,1,ADR_adrenergic,ADRB1:1
OG_I5.0_0016,1,HRH_histamine,HRH1:1
OG_I5.0_0017,1,TRUE_DRD,DRD2:1
OG_I5.0_0018,1,ADR_adrenergic,ADRA1A:1
OG_I5.0_0019,1,TRUE_DRD,DRD1:1
OG_I5.0_0020,1,HTR_serotonin,HTR1A:1
OG_I5.0_0021,1,HTR_serotonin,HTR2A:1
