clade,omega_start,lnL_alt,lnL_null,LRT,omega_2a,p2a_p2b,row_flag,status,wall_seconds,verdict
Gr_sweet__aaegypti_clade,0.1,-52153.153732,-52153.153732,0.0,1.0,0.1558,boundary,ok,3334,TRUE_NULL
Gr_sweet__aaegypti_clade,0.5,-52153.153741,-52153.153732,-1.8000006093643606e-05,1.0,0.15582000000000001,boundary,reused,0,TRUE_NULL
Gr_sweet__aaegypti_clade,1.0,-52153.153732,-52153.153732,0.0,1.0,0.1558,boundary,ok,2570,TRUE_NULL
Gr_sweet__aaegypti_clade,2.0,-52153.153732,-52153.153732,0.0,1.0,0.1558,boundary,ok,3098,TRUE_NULL
Gr_sweet__aaegypti_clade,5.0,-52153.153732,-52153.153732,0.0,1.0,0.1558,boundary,ok,4274,TRUE_NULL
Gr_sweet__coleoptera_clade,0.1,-52145.027945,-52145.027945,0.0,1.0,0.1834,boundary,ok,2866,TRUE_NULL
Gr_sweet__coleoptera_clade,0.5,-52145.027977,-52145.027945,-6.399999256245792e-05,1.0,0.1834,boundary,reused,0,TRUE_NULL
Gr_sweet__coleoptera_clade,1.0,-52145.027945,-52145.027945,0.0,1.0,0.1834,boundary,ok,3463,TRUE_NULL
Gr_sweet__coleoptera_clade,2.0,-52145.027945,-52145.027945,0.0,1.0,0.1834,boundary,ok,3113,TRUE_NULL
Gr_sweet__coleoptera_clade,5.0,-52145.027945,-52145.027945,0.0,1.0,0.1834,boundary,ok,3922,TRUE_NULL
Gr_sweet__dmel_Gr64_cluster,0.1,-52162.226067,-52162.226067,0.0,1.0,0.06831,boundary,ok,23658,OPTIMIZER_ARTIFACT
Gr_sweet__dmel_Gr64_cluster,0.5,-52162.226067,-52162.226067,0.0,1.0,0.06831,boundary,reused,0,OPTIMIZER_ARTIFACT
Gr_sweet__dmel_Gr64_cluster,1.0,-52162.226067,-52162.226067,0.0,1.0,0.06831,boundary,ok,24787,OPTIMIZER_ARTIFACT
Gr_sweet__dmel_Gr64_cluster,2.0,,-52162.226067,,,,fail,timeout,7200,OPTIMIZER_ARTIFACT
Gr_sweet__dmel_Gr64_cluster,5.0,-52157.38839,-52162.226067,9.675354000006337,144.91136,0.03505,escaped,ok,7815,OPTIMIZER_ARTIFACT
Gr_sweet__dmel_all_clade,0.1,-52161.8601,-52161.8601,0.0,1.0,0.06396,boundary,ok,4254,OPTIMIZER_ARTIFACT
Gr_sweet__dmel_all_clade,0.5,-52161.8601,-52161.8601,0.0,1.0,0.06396,boundary,reused,0,OPTIMIZER_ARTIFACT
Gr_sweet__dmel_all_clade,1.0,-52161.8601,-52161.8601,0.0,1.0,0.06396,boundary,ok,3265,OPTIMIZER_ARTIFACT
Gr_sweet__dmel_all_clade,2.0,-52161.8601,-52161.8601,0.0,1.0,0.06396,boundary,ok,3398,OPTIMIZER_ARTIFACT
Gr_sweet__dmel_all_clade,5.0,-52159.696404,-52161.8601,4.32739199999196,95.06875,0.033209999999999996,escaped,ok,4220,OPTIMIZER_ARTIFACT
Gr_sweet__lepidoptera_clade,0.1,-52144.978842,-52144.978842,0.0,1.0,0.14724,boundary,ok,2901,TRUE_NULL
Gr_sweet__lepidoptera_clade,0.5,-52144.978842,-52144.978842,0.0,1.0,0.14724,boundary,reused,0,TRUE_NULL
Gr_sweet__lepidoptera_clade,1.0,-52144.978842,-52144.978842,0.0,1.0,0.14724,boundary,ok,4404,TRUE_NULL
Gr_sweet__lepidoptera_clade,2.0,-52144.978842,-52144.978842,0.0,1.0,0.14724,boundary,ok,3811,TRUE_NULL
Gr_sweet__lepidoptera_clade,5.0,-52144.978842,-52144.978842,0.0,1.0,0.14724,boundary,ok,3593,TRUE_NULL
