clade,omega_start,lnL_alt,omega_2a,p2a_p2b,status,wall_seconds
Gr_sweet__dmel_Gr64_cluster,0.1,-52162.226067,1.0,0.06831,ok,23658
Gr_sweet__dmel_Gr64_cluster,1.0,-52162.226067,1.0,0.06831,ok,24787
Gr_sweet__dmel_Gr64_cluster,5.0,-52157.38839,144.91136,0.03505,ok,7815
Gr_sweet__dmel_Gr64_cluster,2.0,,,,timeout,7200
Gr_sweet__dmel_all_clade,0.1,-52161.8601,1.0,0.06396,ok,4254
Gr_sweet__dmel_all_clade,1.0,-52161.8601,1.0,0.06396,ok,3265
Gr_sweet__dmel_all_clade,2.0,-52161.8601,1.0,0.06396,ok,3398
Gr_sweet__dmel_all_clade,5.0,-52159.696404,95.06875,0.033209999999999996,ok,4220
Gr_sweet__coleoptera_clade,0.1,-52145.027945,1.0,0.1834,ok,2866
Gr_sweet__coleoptera_clade,1.0,-52145.027945,1.0,0.1834,ok,3463
Gr_sweet__coleoptera_clade,2.0,-52145.027945,1.0,0.1834,ok,3113
Gr_sweet__coleoptera_clade,5.0,-52145.027945,1.0,0.1834,ok,3922
Gr_sweet__lepidoptera_clade,0.1,-52144.978842,1.0,0.14724,ok,2901
Gr_sweet__lepidoptera_clade,2.0,-52144.978842,1.0,0.14724,ok,3811
Gr_sweet__lepidoptera_clade,1.0,-52144.978842,1.0,0.14724,ok,4404
Gr_sweet__lepidoptera_clade,5.0,-52144.978842,1.0,0.14724,ok,3593
Gr_sweet__aaegypti_clade,0.1,-52153.153732,1.0,0.1558,ok,3334
Gr_sweet__aaegypti_clade,1.0,-52153.153732,1.0,0.1558,ok,2570
Gr_sweet__aaegypti_clade,2.0,-52153.153732,1.0,0.1558,ok,3098
Gr_sweet__aaegypti_clade,5.0,-52153.153732,1.0,0.1558,ok,4274
